datum,kategorija
10/3/2016,Tournament Winner (including playoffs)
8/10/2016,Grand Final Winner
8/27/2016, Tournament winner
10/8/2016,Grand Final Winner
11/1/2017, Tournament winner
1/17/2016, Tournament winner
9/1/2016, Tournament winner
1/16/2016,3-way - result
1/17/2016,3-way - result
1/23/2016,3-way - result
1/24/2016,3-way - result
1/30/2016,3-way - result
1/31/2016,3-way - result
2/13/2016,3-way - result
2/20/2016,3-way - result
2/27/2016,3-way - result
3/5/2016,3-way - result
3/27/2016,3-way - result
4/10/2016,3-way - result
1/16/2016,2Way - result incl. O/T
1/17/2016,2Way - result incl. O/T
1/18/2016,2Way - result incl. O/T
