dogodek,kvota,drzava,sportnik
"The Masters
        - World",2.75,ENG,Barry Hawkins
"PGA Tour - Sony Open
        - World",4.00,USA,Brandt Snedeker
"Heavyweight
        - World",1.05,ENG,David Haye
"Heavyweight
        - World",1.72,UKR,Vyacheslav Glazkov
"Welterweight
        - World",1.13,USA,Danny Garcia
"Super Lightweight
        - World",1.53,ENG,Tommy Martin
"Catchweight
        - World",1.01,ENG,George Groves
"Lightweight
        - World",1.18,ENG,Terry Flanagan
"Cruiserweight 
        - World",1.53,GER,Marco Huck
"Heavyweight
        - World",1.22,UZB,Ruslan Chagaev
"Welterweight
        - World",1.36,PHI,Manny Pacquiao
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
