dogodek,kvota,drzava,sportnik
"World Championship
        - World",4.50,ENG,Ronnie O&#39;Sullivan
"PGA Tour - Sony Open
        - World",2.50,USA,Brandt Snedeker
"Heavyweight
        - World",1.01,NZL,Joseph Parker
"Heavyweight
        - World",1.62,USA,Dominic Breazeale
"Middleweight
        - World",1.44,ENG,John Ryder
"Light Heavyweight
        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight
        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight
        - World",1.65,NIR,Carl Frampton
"Super-featherweight
        - World",1.53,PUR,Jose Pedraza
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.10,GER,Tony Martin
"Bundesliga
        - Germany",11.50,CHI,Leones de Quilpue
"A1 - Men
        - Greece",1.85,Women,Volley Soverato
"PDC - The Masters
        - World",2.55,SCO,Robert Thornton
"Ultimate Fighting Championship
        - World",3.00,USA,Daron Cruickshank
"Ultimate Fighting Championship
        - World",1.50,BEL,Tarec Saffiedine
"Ultimate Fighting Championship
        - World",1.60,USA,Cain Velazquez
"Ultimate Fighting Championship
        - World",1.80,IRE,Conor McGregor
"ITF Women - Daytona Beach (USA) - Clay
        - World",1.62,UKR,Olga Fridman
"ATP Challenger - Buenos Aires (ARG) - Clay
        - World",2.65,BEL,Arthur De Greef
"Australian Open - Women
        - World",1.34,USA,Nicole Gibbs
"World Championships
        - World",2.10,ESP/Honda,Marc Marquez
