sportnik,drzava,kvota
Ronnie O&#39;Sullivan,ENG,4.50
Neil Robertson,AUS,6.00
Judd Trump,ENG,6.50
Shaun Murphy,ENG,10.00
Mark Selby,ENG,10.00
John Higgins,SCO,13.00
Ding Jun-hui,CHN,15.00
Stuart Bingham,ENG,21.00
Mark Allen,NIR,29.00
Barry Hawkins,ENG,34.00
Stephen Maguire,SCO,41.00
Marco Fu,HKG,51.00
Mark Williams,WAL,51.00
Ricky Walden,ENG,67.00
Anthony McGill,SCO,67.00
Joe Perry,ENG,81.00
Allister Carter,ENG,81.00
Michael White,WAL,81.00
Liang Wenbo,CHN,81.00
Martin Gould,ENG,101.00
Graeme Dott,SCO,101.00
Xiao Guodong,CHN,126.00
Ryan Day,WAL,151.00
Mark Davis,ENG,151.00
Michael Holt,ENG,201.00
Ben Woollaston,ENG,201.00
Matthew Selt,ENG,201.00
Dominic Dale,WAL,251.00
Peter Ebdon,ENG,251.00
Alan McManus,SCO,251.00
Robert Milkins,ENG,251.00
Fergal O&#180;Brien,IRL,301.00
Brandt Snedeker,USA,2.50
Kevin Kisner,USA,3.25
Zac Blair,USA,5.00
Si Woo Kim,KOR,17.00
Matt Kuchar,USA,41.00
Fabian Gomez,ARG,51.00
Jason Dufner,USA,67.00
Gary Woodland,USA,67.00
Webb Simpson,USA,81.00
Sean O&#39;Hair,USA,101.00
Zach Johnson,USA,101.00
Ryan Palmer,USA,151.00
Charles Howell III,USA,151.00
Jeff Overton,USA,151.00
Danny Lee,NZL,151.00
Graham Delaet,CAN,201.00
Jerry Kelly,USA,201.00
Daisuke Kataoka,JPN,201.00
Kevin Na,USA,201.00
Francesco Molinari,ITA,201.00
Luke Donald,ENG,251.00
Marc Leishman,AUS,251.00
Hudson Swafford,USA,251.00
Chez Reavie,USA,251.00
Tim Clark,RSA,251.00
Jimmy Walker,USA,251.00
Jamie Lovemark,USA,301.00
Ricky Barnes,USA,301.00
Greg Owen,ENG,501.00
Scott Piercy,USA,501.00
Joseph Parker,NZL,1.01
Jason Bergman,USA,17.00
Danny Garcia,USA,1.13
Robert Guerrero,USA,6.00
Dominic Breazeale,USA,1.62
Amir Mansour,USA,2.35
Tommy Martin,ENG,1.53
John Wayne Hibbert,ENG,2.62
