dogodek,kvota,drzava,sportnik
"World Championship
        - World",4.33,ENG,Ronnie O&#39;Sullivan
"US Masters
        - World",5.00,USA,Jordan Spieth
"Heavyweight
        - World",1.01,NZL,Joseph Parker
"Heavyweight
        - World",1.62,USA,Dominic Breazeale
"Middleweight
        - World",1.44,ENG,John Ryder
"Light Heavyweight
        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight
        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight
        - World",1.65,NIR,Carl Frampton
"Super-featherweight
        - World",1.53,PUR,Jose Pedraza
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.10,GER,Tony Martin
"10km Sprint - Men
        - World",3.00,FRA,Martin Fourcade
"PDC - The Masters
        - World",2.65,SCO,Robert Thornton
"Australian Open, Men
        - World",1.12,FRA,Jo-Wilfried Tsonga
"ITF Women - Cairo (EGY) - Qualification - Clay
        - World",1.83,EGY,Lamis Alhussein Abdel Aziz
"ITF Men - Aktobe (KAZ) - Hard
        - World",6.00,KAZ,Sagadat Ayap
"Australian Open - Women
        - World",1.20,USA,Madison Keys
"World Championships
        - World",2.10,ESP/Honda,Marc Marquez
"World Championship
        - World",3.00,GBR,Tai Woffinden
"Long term bets - Women
        - World",1.65,USA,Lindsey Vonn
"WRC - long term bet
        - World",1.20,FRA/Volkswagen,Sebastien Ogier
"U20 Superleague
        - Greece",18.50,U20,Platanias
"Premier
        - Egypt",1.67,U23,Qatar
"Superliga
        - Turkey",1.18,U23,Groningen
"Toto League
        - Israel",2.10,U21,VV St. Truiden
"Pro A
        - France",2.40,Istres,Omar Assar
"Pro A
        - France",1.60,Boulogne,Paul Drinkhall
"Indoor World Men`s Championship
        - World",1.20,ENG,Mark Dawes
"Ski Classics - Men
        - World",2.25,NOR,Petter Elisassen
"Cross Country - Men
        - World",1.55,NOR,Martin Johnsrud Sundby
"World Championship Candidate Matches
        - World",4.50,USA,Hikaru Nakamura
