dogodek,kvota,drzava,sportnik
"World Championship
        - World",4.33,ENG,Ronnie O&#39;Sullivan
"US Masters
        - World",5.00,USA,Jordan Spieth
"Heavyweight
        - World",1.01,NZL,Joseph Parker
"Heavyweight
        - World",1.62,USA,Dominic Breazeale
"Middleweight
        - World",1.44,ENG,John Ryder
"Light Heavyweight
        - World",1.05,RUS,Sergey Kovalev
"Super-Middleweight
        - World",1.44,RUS,Fedor Chudinov
"Super-bantamweight
        - World",1.65,NIR,Carl Frampton
"Super-featherweight
        - World",1.53,PUR,Jose Pedraza
"Swimming - Men
        - Olympics",1.55,AUS,Cameron McEvoy
"Swimming - Men
        - Olympics",1.55,CHN,Yang Sun
"Milano - San Remo
        - World",5.50,SVK,Peter Sagan
"Paris-Roubaix
        - World",4.50,GER,John Degenkolb
"Tour de France
        - World",3.25,GER,Marcel Kittel
"Road - Men
        - Olympics",3.10,GER,Tony Martin
"10km Sprint - Men
        - World",3.00,FRA,Martin Fourcade
"PDC - The Masters
        - World",2.65,SCO,Robert Thornton
