sportnik,drzava,kvota
Ronnie O&#39;Sullivan,ENG,4.33
Neil Robertson,AUS,6.00
Judd Trump,ENG,6.50
Shaun Murphy,ENG,10.00
Mark Selby,ENG,10.00
John Higgins,SCO,13.00
Ding Jun-hui,CHN,15.00
Stuart Bingham,ENG,21.00
Mark Allen,NIR,29.00
Barry Hawkins,ENG,34.00
Stephen Maguire,SCO,41.00
Marco Fu,HKG,51.00
Mark Williams,WAL,51.00
Ricky Walden,ENG,67.00
Anthony McGill,SCO,67.00
Joe Perry,ENG,81.00
Allister Carter,ENG,81.00
Michael White,WAL,81.00
Liang Wenbo,CHN,81.00
Martin Gould,ENG,101.00
Graeme Dott,SCO,101.00
Xiao Guodong,CHN,126.00
Ryan Day,WAL,151.00
Mark Davis,ENG,151.00
Michael Holt,ENG,201.00
Ben Woollaston,ENG,201.00
Matthew Selt,ENG,201.00
Dominic Dale,WAL,251.00
Peter Ebdon,ENG,251.00
Alan McManus,SCO,251.00
Robert Milkins,ENG,251.00
Fergal O&#180;Brien,IRL,301.00
