datum,kategorija
10/3/2016,Tournament Winner (including playoffs)
8/10/2016,Grand Final Winner
8/27/2016, Tournament winner
10/8/2016,Grand Final Winner
11/1/2017, Tournament winner
1/24/2016, Tournament winner
4/10/2016,Antepost Tournament Winner (All bets stand)
6/19/2016,Antepost Tournament Winner (All bets stand)
7/17/2016,Antepost Tournament Winner (All bets stand)
8/19/2016,Antepost Tournament Winner (All bets stand)
9/1/2016, Tournament winner
10/10/2016,Tournament Winner (others on request)
11/20/2016, Tournament winner
1/22/2016,3-way - result
1/23/2016,3-way - result
1/24/2016,3-way - result
1/30/2016,3-way - result
1/31/2016,3-way - result
2/13/2016,3-way - result
2/20/2016,3-way - result
2/27/2016,3-way - result
2/28/2016,3-way - result
3/5/2016,3-way - result
3/27/2016,3-way - result
4/10/2016,3-way - result
1/20/2016,2Way - Who will win?
1/21/2016,2Way - Who will win?
1/22/2016,2Way - Who will win?
1/23/2016,2Way - Who will win?
1/24/2016,2Way - Who will win?
1/25/2016,2Way - Who will win?
8/18/2016,Will a Brazilian team win the Mens Beachvolleyball Gold Medal?
