sportnik,drzava,kvota
Stephen Maguire,SCO,1.75
Marco Fu,HKG,1.95
Michael White,WAL,1.95
Ricky Walden,ENG,1.75
Joe Perry,ENG,1.95
Mark Williams,WAL,1.75
Mark Selby,ENG,1.65
Stephen Maguire,SCO,2.10
Marco Fu,HKG,1.70
Michael White,WAL,2.05
Ricky Walden,ENG,1.85
Joe Perry,ENG,1.85
Mark Selby,ENG,1.62
Mark Williams,WAL,2.15
Stephen Maguire,SCO,1.70
Michael White,WAL,2.05
Marco Fu,HKG,1.80
Ricky Walden,ENG,1.90
Joe Perry,ENG,2.25
Mark Selby,ENG,1.57
Mark Williams,WAL,1.75
Ricky Walden,ENG,1.95
Michael White,WAL,2.35
Mark Selby,ENG,1.52
Marco Fu,HKG,1.80
Joe Perry,ENG,1.90
Stephen Maguire,SCO,1.80
Mark Williams,WAL,1.90
Michael White,WAL,2.15
Mark Williams,WAL,1.62
Ricky Walden,ENG,2.30
Mark Selby,ENG,1.55
Marco Fu,HKG,2.20
Mark Selby,ENG,1.60
Stephen Maguire,SCO,1.75
Joe Perry,ENG,1.95
Michael White,WAL,1.95
Joe Perry,ENG,1.75
Marco Fu,HKG,1.88
Mark Williams,WAL,1.82
Stephen Maguire,SCO,1.75
Ricky Walden,ENG,1.95
