datum,kategorija
10/3/2016,Tournament Winner (including playoffs)
8/10/2016,Grand Final Winner
8/27/2016, Tournament winner
10/8/2016,Grand Final Winner
11/1/2017, Tournament winner
9/1/2016, Tournament winner
1/22/2016,3-way - result
1/23/2016,3-way - result
1/24/2016,3-way - result
1/30/2016,3-way - result
1/31/2016,3-way - result
2/13/2016,3-way - result
2/20/2016,3-way - result
2/27/2016,3-way - result
2/28/2016,3-way - result
3/5/2016,3-way - result
3/26/2016,3-way - result
3/27/2016,3-way - result
4/9/2016,3-way - result
4/10/2016,3-way - result
1/22/2016,2Way - Who will win?
1/23/2016,2Way - Who will win?
1/24/2016,2Way - Who will win?
1/25/2016,2Way - Who will win?
8/18/2016,Will a Brazilian team win the Mens Beachvolleyball Gold Medal?
6/8/2016,Head-to-Head F. Grabich/S. Condorelli
8/6/2016,Head-to-Head Y. Sun/G. Paltrinieri
8/7/2016,Head-to-Head  D. Verraszto/C. Kalisz
