2016/01/20,2016/01/21,2016/01/18,2016/01/16,2016/01/17,2016/01/22
aussie-rules,aussie-rules,aussie-rules,aussie-rules,aussie-rules,aussie-rules
snooker,snooker,snooker,snooker,snooker,snooker
rugby-league,rugby-league,rugby-league,rugby-league,rugby-league,rugby-league
golf,golf,golf,golf,golf,golf
boxing,boxing,boxing,boxing,boxing,boxing
specials,specials,beach-volleyball,specials,specials,specials
beach-volleyball,beach-volleyball,swimming,beach-volleyball,beach-volleyball,beach-volleyball
swimming,swimming,rugby-union,swimming,swimming,swimming
rugby-union,rugby-union,floorball,rugby-union,rugby-union,rugby-union
floorball,floorball,cycling,floorball,floorball,floorball
cycling,cycling,american-football,cycling,cycling,cycling
american-football,american-football,water-polo,american-football,american-football,american-football
water-polo,water-polo,biathlon,water-polo,water-polo,water-polo
biathlon,biathlon,basketball,biathlon,basketball,biathlon
basketball,basketball,volleyball,basketball,volleyball,basketball
volleyball,volleyball,darts,volleyball,darts,volleyball
darts,darts,combat-sports,darts,combat-sports,darts
combat-sports,combat-sports,tennis,combat-sports,tennis,combat-sports
tennis,tennis,motorbikes,tennis,motorbikes,tennis
motorbikes,motorbikes,speedway,motorbikes,speedway,motorbikes
speedway,speedway,cricket,speedway,cricket,speedway
cricket,cricket,formula-1,cricket,formula-1,cricket
formula-1,formula-1,alpine-skiing,formula-1,entertainment,formula-1
futsal,futsal,entertainment,futsal,rally,futsal
alpine-skiing,alpine-skiing,rally,alpine-skiing,handball,alpine-skiing
entertainment,entertainment,handball,entertainment,football,entertainment
rally,rally,football,rally,baseball,handball
handball,handball,baseball,handball,table-tennis,football
football,football,table-tennis,football,politics,ski-jumping-
ski-jumping-,ski-jumping-,politics,ski-jumping-,bowls,baseball
baseball,baseball,bowls,baseball,cross-country-skiing,table-tennis
table-tennis,table-tennis,cross-country-skiing,politics,chess,politics
politics,politics,chess,bowls,ice-hockey,bowls
bowls,bowls,ice-hockey,cross-country-skiing,netball,cross-country-skiing
cross-country-skiing,cross-country-skiing,netball,bandy,,bandy
bandy,chess,,chess,,chess
chess,ice-hockey,,ice-hockey,,ice-hockey
ice-hockey,netball,,netball,,netball
netball,,,,,
